Parent Molecule,Name,InChIKey,Smiles,Drug Type,Administration_Routes,SideEffects,Oral,Parenteral,Topical,Phase,First Approval,Withdrawn Flag
CHEMBL1740361,ROTOXAMINE,OJFSXZCBGQGRNV-INIZCTEOSA-N,CN(C)CCO[C@@H](c1ccc(Cl)cc1)c1ccccn1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL471721,SUFOSFAMIDE,ZSZKJARKHWCBJK-UHFFFAOYSA-N,CS(=O)(=O)OCCNP1(=O)OCCCN1CCCl,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL136298,ACEPERONE,VDGZERMDPAAZEJ-UHFFFAOYSA-N,CC(=O)NCC1(c2ccccc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2106037,TETRONASIN 5930,XZJAKURZQBNKKX-ROSSAGPCSA-N,CO[C@@H](C)[C@H]1C[C@H](C)[C@H]([C@@H](C)/C=C/[C@@H]2CC[C@@H](C)[C@H](/C(=C/[C@H]3CCC[C@@H](C)[C@@H]3[C@H](C)C(=O)C3=C(O)COC3=O)CO)O2)O1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL17125,PELRINONE,NZXHFDXOCVIYLO-UHFFFAOYSA-N,Cc1nc(=O)c(C#N)c(NCc2cccnc2)[nH]1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL551786,RECAINAM,WHJSFPCTWYLZRC-UHFFFAOYSA-N,Cc1cccc(C)c1NC(=O)NCCCNC(C)C,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1453416,ISBUFYLLINE,WHUWQSQEVISUMC-UHFFFAOYSA-N,CC(C)Cn1cnc2c1c(=O)n(C)c(=O)n2C,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2111147,ZATOSETRON,SPKBYQZELVEOLL-GOOCMWNKSA-N,CN1[C@@H]2CC[C@H]1C[C@@H](NC(=O)c1cc(Cl)cc3c1OC(C)(C)C3)C2,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL162243,BETAMETHADOL,QIRAYNIFEOXSPW-XLIONFOSSA-N,CC[C@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL359839,SULFABENZ,YBUXKQSCKVQATK-UHFFFAOYSA-N,Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL172498,DOQUALAST,HMZDSBSMNLBGIW-UHFFFAOYSA-N,O=C(O)c1ccc2nc3ccccn3c(=O)c2c1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL127123,PHENACAINE,QXDAEKSDNVPFJG-UHFFFAOYSA-N,CCOc1ccc(/N=C(\C)Nc2ccc(OCC)cc2)cc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1896433,CARPRONIUM,XQSLKIBWQSTAGK-UHFFFAOYSA-N,COC(=O)CCC[N+](C)(C)C,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1482516,BATILOL,OGBUMNBNEWYMNJ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCOCC(O)CO,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2110808,BUZEPIDE,HDGFUOKLIQJQCS-UHFFFAOYSA-O,C[N+]1(CCC(C(N)=O)(c2ccccc2)c2ccccc2)CCCCCC1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL115794,MANIFAXINE,OZGPVYJHWWPEFT-RGNHYFCHSA-N,C[C@@H]1CO[C@@](O)(c2cc(F)cc(F)c2)[C@H](C)N1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL28930,ILMOFOSINE,ODEDPKNSRBCSDO-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCSCC(COC)COP(=O)([O-])OCC[N+](C)(C)C,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL61495,CRISNATOL,SBRXTSOCZITGQG-UHFFFAOYSA-N,CC(CO)(CO)NCc1cc2c3ccccc3ccc2c2ccccc12,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL454450,BUTIBUFEN,UULSXYSSHHRCQK-UHFFFAOYSA-N,CCC(C(=O)O)c1ccc(CC(C)C)cc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL278581,ALINIDINE,OXTYVEUAQHPPMV-UHFFFAOYSA-N,C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1909055,COBALTOUS CHLORIDE,,,9:Inorganic,,,0,0,0,4.0,1982.0,False
CHEMBL2110797,BENZINDOPYRINE,VRJCKJKZCZLXBK-UHFFFAOYSA-N,c1ccc(Cn2cc(CCc3ccncc3)c3ccccc32)cc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2106586,CYCOTIAMINE,LLJDJQYGZBQFIF-FLIBITNWSA-N,C/C(=C1\CCOC(=O)S1)N(C=O)Cc1cnc(C)nc1N,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1908332,TUROSTERIDE,WMPQMBUXZHMEFZ-YJPJVVPASA-N,CC(C)NC(=O)N(C(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4N(C)C(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2104260,ETOSALAMIDE,XBNRCMFFZFCWMH-UHFFFAOYSA-N,CCOCCOc1ccccc1C(N)=O,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1450486,THIPHENAMIL,WHLUQAYNVOGZST-UHFFFAOYSA-N,CCN(CC)CCSC(=O)C(c1ccccc1)c1ccccc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL356301,LOTRAFIBAN,PYZOVVQJTLOHDG-FQEVSTJZSA-N,CN1Cc2cc(C(=O)N3CCC(C4CCNCC4)CC3)ccc2N[C@@H](CC(=O)O)C1=O,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL3306902,APALCILLIN,XMQVYNAURODYCQ-SLFBBCNNSA-N,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)c3cnc4cccnc4c3O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2110688,FEZOLAMINE,NELSQLPTEWCHQW-UHFFFAOYSA-N,CN(C)CCCn1cc(-c2ccccc2)c(-c2ccccc2)n1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2103776,BELFOSDIL,QTBMDDQRDDABNC-UHFFFAOYSA-N,CCCCOP(=O)(CC(CCOc1ccccc1)CP(=O)(OCCCC)OCCCC)OCCCC,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2107625,BENAFENTRINE,DCDXHGMCXGHXBM-PMACEKPBSA-N,COc1cc2c(cc1OC)[C@@H]1CN(C)CC[C@@H]1N=C2c1ccc(NC(C)=O)cc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2106994,PUMAFENTRINE,CVDXFPBVOIERBH-JWQCQUIFSA-N,CCOc1cc2c(cc1OC)C(c1ccc(C(=O)N(C(C)C)C(C)C)cc1)=N[C@@H]1CCN(C)C[C@H]21,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL91688,DECIMEMIDE,REYUZOLYIOQRIG-UHFFFAOYSA-N,CCCCCCCCCCOc1c(OC)cc(C(N)=O)cc1OC,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2105450,OXYCLOZANIDE,JYWIYHUXVMAGLG-UHFFFAOYSA-N,O=C(Nc1cc(Cl)cc(Cl)c1O)c1c(O)c(Cl)cc(Cl)c1Cl,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL145347,LASALOCID,BBMULGJBVDDDNI-OWKLGTHSSA-N,CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)[C@H]1O[C@](CC)([C@H]2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL187829,LEVEMOPAMIL,DWAWDSVKAUWFHC-QHCPKHFHSA-N,CC(C)[C@@](C#N)(CCCN(C)CCc1ccccc1)c1ccccc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2107394,FLAVODIC ACID,IGCSSLDDCHLXGL-UHFFFAOYSA-N,O=C(O)COc1cc(OCC(=O)O)c2c(=O)cc(-c3ccccc3)oc2c1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1550879,MECETRONIUM,VCAVAURZPNANDQ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC[N+](C)(C)CC,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL35802,PENTAQUINE,VKXQZROIIKPELG-UHFFFAOYSA-N,COc1cc(NCCCCCNC(C)C)c2ncccc2c1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1823518,RABACFOSADINE,ANSPEDQTHURSFQ-KBPBESRZSA-N,CCOC(=O)[C@H](C)NP(=O)(COCCn1cnc2c(NC3CC3)nc(N)nc21)N[C@@H](C)C(=O)OCC,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL88240,ALNIDITAN,QVSXOXCYXPQXMF-OAHLLOKOSA-N,c1ccc2c(c1)CC[C@H](CNCCCNC1=NCCCN1)O2,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2110698,ORCONAZOLE,PBNSEYNKZBMLLY-UHFFFAOYSA-N,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)cc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL101740,CIDOXEPIN,ODQWQRRAPPTVAG-BOPFTXTBSA-N,CN(C)CC/C=C1/c2ccccc2COc2ccccc21,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL3990514,LEVOXADROL,HGKAMARNFGKMLC-MOPGFXCFSA-N,c1ccc(C2(c3ccccc3)OC[C@@H]([C@H]3CCCCN3)O2)cc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2105453,PERISOXAL,XKFIQZCHJUUSBA-UHFFFAOYSA-N,OC(CN1CCCCC1)c1cc(-c2ccccc2)on1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1765294,FLUPAROXAN,XSOUHEXVEOQRKJ-IUCAKERBSA-N,Fc1cccc2c1O[C@H]1CNC[C@@H]1O2,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL156885,CETAMOLOL,UWCBNAVPISMFJZ-UHFFFAOYSA-N,CNC(=O)COc1ccccc1OCC(O)CNC(C)(C)C,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL329901,AMOLANONE,HPITVGRITATAFY-UHFFFAOYSA-N,CCN(CC)CCC1(c2ccccc2)C(=O)Oc2ccccc21,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1534653,HEXADECYLAMINE,FJLUATLTXUNBOT-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCN,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL452861,LEVOPROPRANOLOL,AQHHHDLHHXJYJD-AWEZNQCLSA-N,CC(C)NC[C@H](O)COc1cccc2ccccc12,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1908333,TILMICOSIN,JTSDBFGMPLKDCD-XVFHVFLVSA-N,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL18772,QUIPAZINE,XRXDAJYKGWNHTQ-UHFFFAOYSA-N,c1ccc2nc(N3CCNCC3)ccc2c1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL348763,CLENTIAZEM,GYKFWCDBQAFCLJ-RTWAWAEBSA-N,COc1ccc([C@@H]2Sc3cc(Cl)ccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1509115,TETRYDAMINE,NKDJNEGDJVXHKM-UHFFFAOYSA-N,CNc1c2c(nn1C)CCCC2,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1079787,TODRALAZINE,WGZDBVOTUVNQFP-UHFFFAOYSA-N,CCOC(=O)NNc1nncc2ccccc12,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL76098,XEMILOFIBAN,ZHCINJQZDFCSEL-CYBMUJFWSA-N,C#C[C@H](CC(=O)OCC)NC(=O)CCC(=O)Nc1ccc(C(=N)N)cc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2009105,FOSQUIDONE,UXTSQCOOUJTIAC-UHFFFAOYSA-N,CC1c2ccccc2Cn2cc3c(c21)C(=O)c1cccc(OP(=O)(O)OCc2ccccc2)c1C3=O,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1908354,CEFCANEL,VDFFPBOAOLQAJV-SUYBPPKGSA-N,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)[C@H](O)c4ccccc4)[C@H]3SC2)s1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL150303,NORTOPIXANTRONE,PMGQHDIXCJMHRO-UHFFFAOYSA-N,CNCCNc1ccc2c3c(nn2CCNCCO)-c2cnccc2C(=O)c13,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL25146,AMFENAC,SOYCMDCMZDHQFP-UHFFFAOYSA-N,Nc1c(CC(=O)O)cccc1C(=O)c1ccccc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL122351,ADITEREN,WFBZIFZFHLQCPP-UHFFFAOYSA-N,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1N,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2110680,ISOMAZOLE,JQUKCPUPFALELS-UHFFFAOYSA-N,COc1cc([S+](C)[O-])ccc1-c1nc2cnccc2[nH]1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL578063,ALAZANINE,JGLWGLKNDHZFAP-UHFFFAOYSA-N,CCN1/C(=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL289093,BUTOXAMINE,TWUSDDMONZULSC-UHFFFAOYSA-N,COc1ccc(OC)c(C(O)C(C)NC(C)(C)C)c1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL290507,ENVIRADENE,BFPYUXIFGJJYHU-AYSLTRBKSA-N,C/C=C(\c1ccccc1)c1ccc2nc(N)n(S(=O)(=O)C(C)C)c2c1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL7467,FLESTOLOL,ZPLOQFLCMVIWRY-UHFFFAOYSA-N,CC(C)(CNC(N)=O)NCC(O)COC(=O)c1ccccc1F,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL382769,XILOBAM,PAXRPWSXCPTPCA-NTCAYCPXSA-N,Cc1cccc(C)c1NC(=O)/N=C1\CCCN1C,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL19892,FANAPANEL,WZMQMKNCWDCCMT-UHFFFAOYSA-N,O=c1[nH]c2cc(C(F)(F)F)c(N3CCOCC3)cc2n(CP(=O)(O)O)c1=O,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL203666,PIROXANTRONE,UKNVCOILWOLTLJ-UHFFFAOYSA-N,NCCCNc1ccc2c3c(nn2CCNCCO)-c2c(O)ccc(O)c2C(=O)c13,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL46547,SARMAZENIL,WSDBAFQWNWJTNG-UHFFFAOYSA-N,CCOC(=O)c1ncn2c1CN(C)C(=O)c1c(Cl)cccc1-2,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL88691,PIROLATE,KIDJDJMACBOHKQ-UHFFFAOYSA-N,CCOC(=O)c1nc(=O)c2cc3cc(OC)c(OC)cc3nc2[nH]1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL8412,IPSAPIRONE,TZJUVVIWVWFLCD-UHFFFAOYSA-N,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL39933,CARABERSAT,RCLXAPJEFHPYEG-ZWKOTPCHSA-N,CC(=O)c1ccc2c(c1)[C@H](NC(=O)c1ccc(F)cc1)[C@@H](O)C(C)(C)O2,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL19611,ILOMASTAT,NITYDPDXAAFEIT-DYVFJYSZSA-N,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1164608,FLUAZURON,YOWNVPAUWYHLQX-UHFFFAOYSA-N,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL3040582,DELDEPREVIR,UDMJANYPQWEDFT-ZAWFUYGJSA-N,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCC[C@H](CC(=O)N5CCCC(F)(F)C5)C(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2106970,PICUMAST,USCSJAIWXWYTEH-UHFFFAOYSA-N,Cc1c(C)c2ccc(OCCCN3CCN(Cc4ccc(Cl)cc4)CC3)cc2oc1=O,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL161084,MIRFENTANIL,BJZZDOLVVLWFHN-UHFFFAOYSA-N,O=C(c1ccco1)N(c1cnccn1)C1CCN(CCc2ccccc2)CC1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL142218,LAFLUNIMUS,GDHFOVCRYCPOTK-QBFSEMIESA-N,Cc1cc(NC(=O)/C(C#N)=C(\O)C2CC2)ccc1C(F)(F)F,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL469912,PUROMYCIN,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,COc1ccc(C[C@H](N)C(=O)N[C@H]2[C@@H](O)[C@H](n3cnc4c(N(C)C)ncnc43)O[C@@H]2CO)cc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1451116,IODOFORM,OKJPEAGHQZHRQV-UHFFFAOYSA-N,IC(I)I,1:Synthetic Small Molecule,,,0,0,0,3.0,,False
CHEMBL2104031,ALPERTINE,RXAVJRAUFOPBOO-UHFFFAOYSA-N,CCOC(=O)c1[nH]c2cc(OC)c(OC)cc2c1CCN1CCN(c2ccccc2)CC1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL356323,CIPAMFYLLINE,KSPYMJJKQMWWNB-UHFFFAOYSA-N,Nc1nc2c([nH]1)c(=O)n(CC1CC1)c(=O)n2CC1CC1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1360840,ETHOXAZENE,GAWOVNGQYQVFLI-UHFFFAOYSA-N,CCOc1ccc(/N=N/c2ccc(N)cc2N)cc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2107024,REVOSPIRONE,MPLTZRTXQLNGED-UHFFFAOYSA-N,O=C1c2ccccc2S(=O)(=O)N1CCCN1CCN(c2ncccn2)CC1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1702420,METOCINIUM,IHRPDXFOMLCPIK-UHFFFAOYSA-N,C[N+](C)(C)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL351585,PAPAVEROLINE,MXQKCNCLQIHHJA-UHFFFAOYSA-N,Oc1ccc(Cc2nccc3cc(O)c(O)cc23)cc1O,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1179735,AMPROLIUM ION,IPZFPROOBOUEIG-UHFFFAOYSA-N,CCCc1ncc(C[n+]2ccccc2C)c(N)n1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL25931,ADIBENDAN,TVLQBBHUNDMTEC-UHFFFAOYSA-N,CC1(C)C(=O)Nc2cc3[nH]c(-c4ccncc4)nc3cc21,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL122135,LODAXAPRINE,USEZRIFSJXAMJD-UHFFFAOYSA-N,OC1CCN(c2ccc(-c3ccccc3Cl)nn2)CC1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL222838,"EFLORNITHINE, (S)-",VLCYCQAOQCDTCN-ZCFIWIBFSA-N,NCCC[C@](N)(C(=O)O)C(F)F,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2103748,CILOFUNGIN,ZKZKCEAHVFVZDJ-MTUMARHDSA-N,CCCCCCCCOc1ccc(C(=O)N[C@H]2C[C@@H](O)[C@@H](O)NC(=O)[C@@H]3[C@@H](O)[C@@H](C)CN3C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c3ccc(O)cc3)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@H]([C@@H](C)O)NC2=O)cc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL142304,STILBAMIDINE,MMURVNDSFNJHAM-OWOJBTEDSA-N,N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2)cc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL196003,PROMEGESTONE,QFFCYTLOTYIJMR-XMGTWHOFSA-N,CCC(=O)[C@@]1(C)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3CC[C@@]21C,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2110935,GUANOXYFEN,UEIBTMGAIXZRBV-UHFFFAOYSA-N,N=C(N)NCCCOc1ccccc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL20210,RUPINTRIVIR,CAYJBRBGZBCZKO-BHGBQCOSSA-N,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccc(F)cc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1887483,LAURIXAMINE,ZRJOUVOXPWNFOF-UHFFFAOYSA-N,CCCCCCCCCCCCOCCCN,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
