"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL2111065";"TROCLOSENE";"";"";"2.0";"";"";"1964";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=c1[nH]c(=O)n(Cl)c(=O)n1Cl";"InChI=1S/C3HCl2N3O3/c4-7-1(9)6-2(10)8(5)3(7)11/h(H,6,9,10)";"False";"0"
"CHEMBL1395071";"FORMETOREX";"FORMETOREX|N-FORMYLAMPHETAMINE|NSC-511083";"NSC-511083";"2.0";"";"'-orex'";"";"anorexiants";"'-orex(-orex)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CC(Cc1ccccc1)NC=O";"InChI=1S/C10H13NO/c1-9(11-8-12)7-10-5-3-2-4-6-10/h2-6,8-9H,7H2,1H3,(H,11,12)";"False";"0"
"CHEMBL2106030";"LEVOMOPROLOL";"LEVOMOPROLOL|MOPROLOL L-FORM|MOPROLOL, (-)-|MOPROLOL, (S)-";"";"2.0";"";"'-olol'";"";"beta-blockers (propranolol type)";"'-olol(-olol)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"COc1ccccc1OC[C@@H](O)CNC(C)C";"InChI=1S/C13H21NO3/c1-10(2)14-8-11(15)9-17-13-7-5-4-6-12(13)16-3/h4-7,10-11,14-15H,8-9H2,1-3H3/t11-/m0/s1";"False";"0"
"CHEMBL1615357";"AZACOSTEROL";"AZACOSTEROL";"";"2.0";"";"'-ster-; -terol'";"1965";"steroids (androgens, anabolics); bronchodilators (phenethylamine derivatives)";"'-ster-(-ster-); -terol(-terol)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CN(C)CCCN(C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C";"InChI=1S/C25H44N2O/c1-24-13-11-19(28)17-18(24)7-8-20-21-9-10-23(25(21,2)14-12-22(20)24)27(5)16-6-15-26(3)4/h7,19-23,28H,6,8-17H2,1-5H3/t19-,20-,21-,22-,23-,24-,25-/m0/s1";"False";"0"
"CHEMBL303182";"SULAMSEROD";"RS-100302|SULAMSEROD";"RS-100302";"2.0";"";"'-serod'";"1999";"serotonin receptor antagonists and partial agonists";"'-serod(-serod)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CS(=O)(=O)NCCN1CCC(CCC(=O)c2cc(Cl)c(N)c3c2OCCO3)CC1";"InChI=1S/C19H28ClN3O5S/c1-29(25,26)22-6-9-23-7-4-13(5-8-23)2-3-16(24)14-12-15(20)17(21)19-18(14)27-10-11-28-19/h12-13,22H,2-11,21H2,1H3";"False";"0"
"CHEMBL1200368";"BENTIROMIDE";"BENTIROMIDA|BENTIROMIDE|BTPABA PFT|BTPABA, PFT|BTPABA-PFT|BTPABAPFT|CHYMEX|E-2663|PFD";"BTPABA PFT|BTPABA, PFT|BTPABA-PFT|BTPABAPFT|E-2663";"4.0";"Savage Laboratories Inc Div Altana Inc";"'-tirom-'";"1979";"antihyperlipidemic, thyromimetic derivatives";"'-tirom-(-tirom-)'";"1983";"V04CK03";"V04CK - Tests for pancreatic function";"V04C - OTHER DIAGNOSTIC AGENTS";"V04 - DIAGNOSTIC AGENTS";"V - VARIOUS";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Discontinued";"O=C(O)c1ccc(NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1";"InChI=1S/C23H20N2O5/c26-19-12-6-15(7-13-19)14-20(25-21(27)16-4-2-1-3-5-16)22(28)24-18-10-8-17(9-11-18)23(29)30/h1-13,20,26H,14H2,(H,24,28)(H,25,27)(H,29,30)/t20-/m0/s1";"False";"0"
"CHEMBL1170610";"BENZOXIQUINE";"BENZOXIQUINA|BENZOXIQUINE|NSC-3906|NSC-3951|OXINE BENZOATE|OXYQUINOLINE BENZOATE|OXYQUINOLINE BENZOATE (SALT)";"NSC-3906|NSC-3951";"2.0";"";"";"1967";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=C(Oc1cccc2cccnc12)c1ccccc1";"InChI=1S/C16H11NO2/c18-16(13-6-2-1-3-7-13)19-14-10-4-8-12-9-5-11-17-15(12)14/h1-11H";"False";"0"
"CHEMBL2106620";"FENACLON";"FENACLON|FENACLONE";"";"2.0";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=C(CCCl)NCCc1ccccc1";"InChI=1S/C11H14ClNO/c12-8-6-11(14)13-9-7-10-4-2-1-3-5-10/h1-5H,6-9H2,(H,13,14)";"False";"0"
"CHEMBL1740361";"ROTOXAMINE";"CARBINOXAMINE, (S)-|MCN-R-73-Z|ROTOXAMINA|ROTOXAMINE";"MCN-R-73-Z";"2.0";"";"";"1963";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CN(C)CCO[C@@H](c1ccc(Cl)cc1)c1ccccn1";"InChI=1S/C16H19ClN2O/c1-19(2)11-12-20-16(15-5-3-4-10-18-15)13-6-8-14(17)9-7-13/h3-10,16H,11-12H2,1-2H3/t16-/m0/s1";"False";"0"
"CHEMBL471721";"SUFOSFAMIDE";"SUFOSFAMIDA|SUFOSFAMIDE";"";"2.0";"";"'-fos-; -fosfamide'";"";"phosphoro-derivatives; isophosphoramide mustard derivatives";"'-fos-(-fos-); -fosfamide(-fosfamide)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CS(=O)(=O)OCCNP1(=O)OCCCN1CCCl";"InChI=1S/C8H18ClN2O5PS/c1-18(13,14)16-8-4-10-17(12)11(6-3-9)5-2-7-15-17/h2-8H2,1H3,(H,10,12)";"False";"0"
"CHEMBL136298";"ACEPERONE";"ACEPERONA|ACEPERONE|ACETABUTONE|NSC-170980|R 3248|R-3248";"NSC-170980|R 3248|R-3248";"2.0";"";"'-perone'";"";"antianxiety agents/neuroleptics (4'-fluoro-4-piperidinobutyrophenone derivatives)";"'-perone(-perone)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CC(=O)NCC1(c2ccccc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1";"InChI=1S/C24H29FN2O2/c1-19(28)26-18-24(21-6-3-2-4-7-21)13-16-27(17-14-24)15-5-8-23(29)20-9-11-22(25)12-10-20/h2-4,6-7,9-12H,5,8,13-18H2,1H3,(H,26,28)";"False";"0"
"CHEMBL2106037";"TETRONASIN 5930";"TETRONASIN|TETRONASIN 5930|TETRONASINA|TETRONASINE";"";"2.0";"";"";"1986";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CO[C@@H](C)[C@H]1C[C@H](C)[C@H]([C@@H](C)/C=C/[C@@H]2CC[C@@H](C)[C@H](/C(=C/[C@H]3CCC[C@@H](C)[C@@H]3[C@H](C)C(=O)C3=C(O)COC3=O)CO)O2)O1";"InChI=1S/C35H54O8/c1-19-9-8-10-25(30(19)23(5)32(38)31-28(37)18-41-35(31)39)16-26(17-36)34-21(3)12-14-27(42-34)13-11-20(2)33-22(4)15-29(43-33)24(6)40-7/h11,13,16,19-25,27,29-30,33-34,36-37H,8-10,12,14-15,17-18H2,1-7H3/b13-11+,26-16+/t19-,20+,21-,22+,23+,24+,25-,27-,29-,30-,33+,34-/m1/s1";"False";"0"
"CHEMBL17125";"PELRINONE";"PELRINONA|PELRINONE";"";"2.0";"";"'-rinone'";"1985";"cardiotonics (amrinone type)";"'-rinone(-rinone)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Cc1nc(=O)c(C#N)c(NCc2cccnc2)[nH]1";"InChI=1S/C12H11N5O/c1-8-16-11(10(5-13)12(18)17-8)15-7-9-3-2-4-14-6-9/h2-4,6H,7H2,1H3,(H2,15,16,17,18)";"False";"0"
"CHEMBL551786";"RECAINAM";"RECAINAM|WY-42,362|WY-42362";"WY-42,362|WY-42362";"2.0";"";"";"1985";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Cc1cccc(C)c1NC(=O)NCCCNC(C)C";"InChI=1S/C15H25N3O/c1-11(2)16-9-6-10-17-15(19)18-14-12(3)7-5-8-13(14)4/h5,7-8,11,16H,6,9-10H2,1-4H3,(H2,17,18,19)";"False";"0"
"CHEMBL1453416";"ISBUFYLLINE";"ISBUFILINA|ISBUFYLLINE";"";"2.0";"";"'-fylline'";"";"theophylline derivatives";"'-fylline(-fylline)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CC(C)Cn1cnc2c1c(=O)n(C)c(=O)n2C";"InChI=1S/C11H16N4O2/c1-7(2)5-15-6-12-9-8(15)10(16)14(4)11(17)13(9)3/h6-7H,5H2,1-4H3";"False";"0"
"CHEMBL2111147";"ZATOSETRON";"LY-277359|LY277359|ZATOSETRON";"LY-277359|LY277359";"2.0";"";"'-setron'";"1990";"serotonin 5-HT3 receptor antagonists";"'-setron(-setron)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CN1[C@@H]2CC[C@H]1C[C@@H](NC(=O)c1cc(Cl)cc3c1OC(C)(C)C3)C2";"InChI=1S/C19H25ClN2O2/c1-19(2)10-11-6-12(20)7-16(17(11)24-19)18(23)21-13-8-14-4-5-15(9-13)22(14)3/h6-7,13-15H,4-5,8-10H2,1-3H3,(H,21,23)/t13-,14+,15-";"False";"0"
"CHEMBL162243";"BETAMETHADOL";".BETA.-METHADOL|.BETA.-METHADOL, (-)-|ACSCN-9609|BETAMETADOL|BETAMETHADOL|IDS-NB-005";"IDS-NB-005";"2.0";"";"'-adol'";"";"analgesics (mixed opiate receptor agonists/antagonists)";"'-adol(-adol)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CC[C@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1";"InChI=1S/C21H29NO/c1-5-20(23)21(16-17(2)22(3)4,18-12-8-6-9-13-18)19-14-10-7-11-15-19/h6-15,17,20,23H,5,16H2,1-4H3/t17-,20+/m1/s1";"False";"0"
"CHEMBL359839";"SULFABENZ";"NSC-2619|SULFABENZ|SULFABENZO";"NSC-2619";"2.0";"";"'sulfa-'";"1966";"antimicrobials (sulfonamides derivatives)";"'sulfa-(sulfa-)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1";"InChI=1S/C12H12N2O2S/c13-10-6-8-12(9-7-10)17(15,16)14-11-4-2-1-3-5-11/h1-9,14H,13H2";"False";"0"
"CHEMBL172498";"DOQUALAST";"DOCUALAST|DOQUALAST";"";"2.0";"";"'-ast'";"";"antiasthmatics/antiallergics (not acting primarily as antihistamines)";"'-ast(-ast)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=C(O)c1ccc2nc3ccccn3c(=O)c2c1";"InChI=1S/C13H8N2O3/c16-12-9-7-8(13(17)18)4-5-10(9)14-11-3-1-2-6-15(11)12/h1-7H,(H,17,18)";"False";"0"
"CHEMBL127123";"PHENACAINE";"FENACAINA|PHENACAINE";"";"2.0";"";"'-caine'";"";"local anesthetics";"'-caine(-caine)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CCOc1ccc(/N=C(\C)Nc2ccc(OCC)cc2)cc1";"InChI=1S/C18H22N2O2/c1-4-21-17-10-6-15(7-11-17)19-14(3)20-16-8-12-18(13-9-16)22-5-2/h6-13H,4-5H2,1-3H3,(H,19,20)";"False";"0"
"CHEMBL1896433";"CARPRONIUM";"CARPRONIUM CATION|CARPRONIUM ION";"";"2.0";"";"'-ium; -onium'";"";"quaternary ammonium derivatives; quaternary ammonium derivatives";"'-ium(-ium); -onium(-onium)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"COC(=O)CCC[N+](C)(C)C";"InChI=1S/C8H18NO2/c1-9(2,3)7-5-6-8(10)11-4/h5-7H2,1-4H3/q+1";"False";"0"
"CHEMBL1482516";"BATILOL";"BATILOL|BATYL ALCOHOL|NSC-284200";"NSC-284200";"2.0";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CCCCCCCCCCCCCCCCCCOCC(O)CO";"InChI=1S/C21H44O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24-20-21(23)19-22/h21-23H,2-20H2,1H3";"False";"0"
"CHEMBL2110808";"BUZEPIDE";"BUZEPIDONUM|R-658";"R-658";"2.0";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"C[N+]1(CCC(C(N)=O)(c2ccccc2)c2ccccc2)CCCCCC1";"InChI=1S/C23H30N2O/c1-25(17-10-2-3-11-18-25)19-16-23(22(24)26,20-12-6-4-7-13-20)21-14-8-5-9-15-21/h4-9,12-15H,2-3,10-11,16-19H2,1H3,(H-,24,26)/p+1";"False";"0"
"CHEMBL115794";"MANIFAXINE";"MANIFAXINA|MANIFAXINE";"";"2.0";"";"'-faxine'";"";"antianxiety, antidepressant inhibitor of norepinephrine and dopamine re-uptake";"'-faxine(-faxine)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"C[C@@H]1CO[C@@](O)(c2cc(F)cc(F)c2)[C@H](C)N1";"InChI=1S/C12H15F2NO2/c1-7-6-17-12(16,8(2)15-7)9-3-10(13)5-11(14)4-9/h3-5,7-8,15-16H,6H2,1-2H3/t7-,8+,12-/m1/s1";"False";"0"
"CHEMBL28930";"ILMOFOSINE";"BM 41.440|BM-41.440|BM-41440|ILMOFOSINA|ILMOFOSINE|THIO ALP";"BM 41.440|BM-41.440|BM-41440";"2.0";"";"'-fos-; -fosine'";"1990";"phosphoro-derivatives; cytostatic phospholipid derivatives";"'-fos-(-fos-); -fosine(-fosine)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CCCCCCCCCCCCCCCCSCC(COC)COP(=O)([O-])OCC[N+](C)(C)C";"InChI=1S/C26H56NO5PS/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-22-34-25-26(23-30-5)24-32-33(28,29)31-21-20-27(2,3)4/h26H,6-25H2,1-5H3";"False";"0"
"CHEMBL61495";"CRISNATOL";"CRISNATOL";"";"2.0";"";"";"1988";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CC(CO)(CO)NCc1cc2c3ccccc3ccc2c2ccccc12";"InChI=1S/C23H23NO2/c1-23(14-25,15-26)24-13-17-12-22-18-7-3-2-6-16(18)10-11-21(22)20-9-5-4-8-19(17)20/h2-12,24-26H,13-15H2,1H3";"False";"0"
"CHEMBL454450";"BUTIBUFEN";"2-(P-ISOBUTYLPHENYL)BUTYRIC ACID|BUTIBUFEN|BUTIBUFENE";"";"2.0";"";"'-bufen'";"";"non-steriodal anti-inflammatory agents, fenbufen derivatives";"'-bufen(-bufen)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CCC(C(=O)O)c1ccc(CC(C)C)cc1";"InChI=1S/C14H20O2/c1-4-13(14(15)16)12-7-5-11(6-8-12)9-10(2)3/h5-8,10,13H,4,9H2,1-3H3,(H,15,16)";"False";"0"
"CHEMBL278581";"ALINIDINE";"ALINIDINA|ALINIDINE|ST 567 BR (AS HBR)|ST 567 BR (AS HYDROBROMIDE)|ST 567-BR (AS HBR)|ST 567-BR (AS HYDROBROMIDE)|ST-567|ST-567-BR-(AS-HBR)|ST-567-BR-(AS-HYDROBROMIDE)";"ST 567 BR (AS HYDROBROMIDE)|ST 567-BR (AS HYDROBROMIDE)|ST-567|ST-567-BR-(AS-HYDROBROMIDE)";"2.0";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl";"InChI=1S/C12H13Cl2N3/c1-2-8-17(12-15-6-7-16-12)11-9(13)4-3-5-10(11)14/h2-5H,1,6-8H2,(H,15,16)";"False";"0"
"CHEMBL1909055";"COBALTOUS CHLORIDE";"COBALT CHLORIDE|COBALT CHLORIDE (COCL2)|COBALT DICHLORIDE (COCL2)|COBALTOUS DICHLORIDE|COBALTUM MURIATICUM|NSC-51149";"NSC-51149";"4.0";"";"";"1963";"";"";"1982";"";"";"";"";"";"None";"9:Inorganic";"0";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Discontinued";"";"";"False";"0"
"CHEMBL2110797";"BENZINDOPYRINE";"BENCINDOPIRINA|BENZINDOPYRINE";"";"2.0";"";"";"1962";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"c1ccc(Cn2cc(CCc3ccncc3)c3ccccc32)cc1";"InChI=1S/C22H20N2/c1-2-6-19(7-3-1)16-24-17-20(21-8-4-5-9-22(21)24)11-10-18-12-14-23-15-13-18/h1-9,12-15,17H,10-11,16H2";"False";"0"
"CHEMBL2106586";"CYCOTIAMINE";"CARBOTHIAMINE|CICOTIAMINA|COMETAMINE|COMMETAMIN|CYCOTHIAMIN(E)|CYCOTIAMINE";"";"2.0";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"C/C(=C1\CCOC(=O)S1)N(C=O)Cc1cnc(C)nc1N";"InChI=1S/C13H16N4O3S/c1-8(11-3-4-20-13(19)21-11)17(7-18)6-10-5-15-9(2)16-12(10)14/h5,7H,3-4,6H2,1-2H3,(H2,14,15,16)/b11-8-";"False";"0"
"CHEMBL1908332";"TUROSTERIDE";"TUROSTERIDA|TUROSTERIDE";"";"2.0";"";"'-ster-; -steride'";"";"steroids (androgens, anabolics); testosterone reductase inhibitors";"'-ster-(-ster-); -steride(-steride)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CC(C)NC(=O)N(C(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4N(C)C(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C";"InChI=1S/C27H45N3O3/c1-16(2)28-25(33)30(17(3)4)24(32)21-10-9-19-18-8-11-22-27(6,15-13-23(31)29(22)7)20(18)12-14-26(19,21)5/h16-22H,8-15H2,1-7H3,(H,28,33)/t18-,19-,20-,21+,22+,26-,27+/m0/s1";"False";"0"
"CHEMBL2104260";"ETOSALAMIDE";"ETOSALAMIDA|ETOSALAMIDE|O-(2-ETHOXYETHOXY)BENZAMIDE";"";"2.0";"";"'-sal-'";"";"anti-inflammatory agents (salicylic acid derivatives)";"'-sal-(-sal-)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CCOCCOc1ccccc1C(N)=O";"InChI=1S/C11H15NO3/c1-2-14-7-8-15-10-6-4-3-5-9(10)11(12)13/h3-6H,2,7-8H2,1H3,(H2,12,13)";"False";"0"
